id,name,shortname,matching1,matching2,English name
1,Jenèz ,,,,Genesis
2,Egzòd ,,,,Exodus
3,Levitik ,,,,Leviticus
4,Resansman ,,,,Numbers
5,Deteronòm ,,,,Deuteronomy
6,Jozye ,,,,Joshua
7,Jij ,,,,Judges
8,Rit,,,,Ruth
9,1 Samyèl ,,,,1 Samuel
10,2 Samyèl ,,,,2 Samuel
11,1 Wa ,,,,1 Kings
12,2 Wa ,,,,2 Kings
13,1 Istwa,,,,1 Chronicles
14,2 Istwa ,,,,2 Chronicles
15,Esdras ,,,,Ezra
16,Neemi ,,,,Nehemiah
17,Estè ,,,,Esther
18,Jòb ,,,,Job
19,Sòm ,,,,Psalms
20,Pwovèb ,,,,Proverbs
21,Eklezyas ,,,,Ecclesiastes
22,Chante Salomon ,,,,Song of Solomon
23,Ezayi ,,,,Isaiah
24,Jeremi ,,,,Jeremiah
25,Plenn ,,,,Lamentations
26,Ezekyèl ,,,,Ezekiel
27,Danyèl ,,,,Daniel
28,Oze ,,,,Hosea
29,Jowèl ,,,,Joel
30,Amòs ,,,,Amos
31,Abdias ,,,,Obadiah
32,Jonas ,,,,Jonah
33,Miche ,,,,Micah
34,Nawoun ,,,,Nahum
35,Abakouk ,,,,Habakkuk
36,Sofoni ,,,,Zephaniah
37,Aje ,,,,Haggai
38,Zakari ,,,,Zechariah
39,Malachi ,,,,Malachi
40,Matye ,,,,Matthew
41,Mak ,,,,Mark
42,Lik ,,,,Luke
43,Jan ,,,,John
44,Travay ,,,,Acts
45,Ròm ,,,,Romans
46,1 Korint,,,,1 Corinthians
47,2 Korint,,,,2 Corinthians
48,Galasi ,,,,Galatians
49,Efèz ,,,,Ephesians
50,Filip ,,,,Philippians
51,Kolòs ,,,,Colossians
52,1 Tesalonik,,,,1 Thessalonians
53,2 Tesalonik,,,,2 Thessalonians
54,1 Timote,,,,1 Timothy
55,2 Timote,,,,2 Timothy
56,Tit ,,,,Titus
57,Filemon ,,,,Philemon
58,Ebre ,,,,Hebrews
59,Jak ,,,,James
60,1 Piè,,,,1 Peter
61,2 Piè,,,,2 Peter
62,1 Jan,,,,1 John
63,2 Jan,,,,2 John
64,3 Jan,,,,3 John
65,Jid ,,,,Jude
66,Revelasyon ,,,,Revelation
