0,name,shortname,matching1,matching2
1,उत्प,उत्प,,
2,निर्ग,निर्ग,,
3,लेवी,लेवी,,
4,गण,गण,,
5,अनु,अनु,,
6,यहो,यहो,,
7,शास्ते,शास्ते,,
8,रूथ,रूथ,,
9,1 शमु,1शमु,,
10,2 शमु,2शमु,,
11,1 राजे,1राजे,,
12,2 राजे,2राजे,,
13,1 इति,1इति,,
14,2 इति,2इति,,
15,एज्रा,एज्रा,,
16,नहे,नहे,,
17,एस्ते,एस्ते,,
18,ईयो,ईयो,,
19,स्तोत्र,स्तोत्र,,
20,नीति,नीति,,
21,उप,उप,,
22,गीत,गीत,,
23,यश,यश,,
24,यिर्म,यिर्म,,
25,विला,विला,,
26,यहे,यहे,,
27,दानि,दानि,,
28,होशे,होशे,,
29,योए,योए,,
30,आमो,आमो,,
31,ओब,ओब,,
32,योना,योना,,
33,मीखा,मीखा,,
34,नहू,नहू,,
35,हब,हब,,
36,सफ,सफ,,
37,हाग्ग,हाग्ग,,
38,जख,जख,,
39,मला,मला,,
40,मत्त.,मत्त.,,
41,मार्क,मार्क,,
42,लूक,लूक,,
43,योहा,योहा,,
44,प्रेषि,प्रेषि,,
45,रोम,रोम,,
46,1 करिं,1करिं,,
47,2 करिं,2करिं,,
48,गल,गल,,
49,इफि,इफि,,
50,फिलि,फिलि,,
51,कल,कल,,
52,1 थेस्स,1थेस्स,,
53,2 थेस्स,2थेस्स,,
54,1 तीम,1तीम,,
55,2 तीम,2तीम,,
56,तीत,तीत,,
57,फिले,फिले,,
58,इब्री,इब्री,,
59,याको,याको,,
60,1 पेत्र,1पेत्र,,
61,2 पेत्र,2पेत्र,,
62,1 योहा,1योहा,,
63,2 योहा,2योहा,,
64,3 योहा,3योहा,,
65,यहू,यहू,,
66,प्रक,प्रक,,
