id,Сафаньё,shortname,matching1,matching2,English name
1,Ҳастӣ,,,,Genesis
2,Хуруҷ,,,,Exodus
3,Ибодат,,,,Leviticus
4,Ададҳо,,,,Numbers
5,Такрори Шариат,,,,Deuteronomy
6,Еҳушаъ,,,,Joshua
7,Доварони,,,,Judges
8,Рут,,,,Ruth
9,якуми Подшоҳон,,,,1 Samuel
10,дуюми Подшоҳон,,,,2 Samuel
11,сеюми Подшоҳон,,,,1 Kings
12,чоруми Подшоҳои,,,,2 Kings
13,якуми Вақоеънома,,,,1 Chronicles
14,Дуюми Вақоеънома,,,,2 Chronicles
15,Эзро,,,,Ezra
16,Наҳемьё,,,,Nehemiah
17,Эстер,,,,Esther
18,Айюб,,,,Job
19,Забур,,,,Psalms
20,Масалҳои,,,,Proverbs
21,Воиз,,,,Ecclesiastes
22,Суруди Сурудҳо,,,,Song of Solomon
23,Ишаъёи,,,,Isaiah
24,Ирмиёи,,,,Jeremiah
25,Навҳаҳои Ирмиё,,,,Lamentations
26,Ҳизқнёли,,,,Ezekiel
27,Дониёли,,,,Daniel
28,Ҳушаи,,,,Hosea
29,Юили,,,,Joel
30,Омӯси,,,,Amos
31,Убадьёи,,,,Obadiah
32,Юнуси,,,,Jonah
33,Микои,,,,Micah
34,Наҳуми,,,,Nahum
35,Ҳабаққуқи,,,,Habakkuk
36,Сафаньё,,,,Zephaniah
37,Ҳаҷҷаи,,,,Haggai
38,Закарьёи,,,,Zechariah
39,Малокии,,,,Malachi
40,Матто,,,,Matthew
41,Марқӯс,,,,Mark
42,Луқо,,,,Luke
43,Юҳанно,,,,John
44,Аъмоли,,,,Acts
45,Румиён,,,,Romans
46,якуми Қӯринтиён,,,,1 Corinthians
47,дуюми Қӯринтиён,,,,2 Corinthians
48,Ғалотиён,,,,Galatians
49,Эфсӯсиён,,,,Ephesians
50,Филиппиён,,,,Philippians
51,Қӯлассиён,,,,Colossians
52,якуми Таслӯникиён,,,,1 Thessalonians
53,дуюми Таслӯникиён,,,,2 Thessalonians
54,Якуми Тимотиюс,,,,1 Timothy
55,дуюми Тимотиюс,,,,2 Timothy
56,Титус,,,,Titus
57,Филемӯн,,,,Philemon
58,Ибриён,,,,Hebrews
59,Яъқуб,,,,James
60,якуми Петрус,,,,1 Peter
61,дуюми Петрус,,,,2 Peter
62,якуми Юҳанно,,,,1 John
63,дуюми Юҳанно,,,,2 John
64,сеюми Юҳанно,,,,3 John
65,Яҳудо,,,,Jude
66,ноВаҳйи,,,,Revelation
